level_0,level_1,level_2,incorr2_data
0,0,0,-1.0382835325901734e-05
0,0,1,-1.0194273060754283e-05
0,0,2,-9.558582093275442e-06
0,0,3,-8.821295472924342e-06
0,0,4,-7.645324626774706e-06
0,0,5,-5.317068359649826e-06
0,0,6,-1.6567626763793662e-06
0,0,7,2.208589863753819e-06
0,0,8,4.548013088892408e-06
0,0,9,4.363597028253182e-06
0,0,10,2.334743147232467e-06
0,0,11,1.069698571451173e-07
0,0,12,-9.976745935508919e-07
0,0,13,-8.991637648540735e-07
0,0,14,-2.419736610722761e-07
0,0,15,4.580553263665737e-07
0,0,16,1.3272459198065888e-06
0,0,17,2.5699564886109933e-06
0,0,18,3.9734005123138495e-06
0,0,19,4.8562845036625405e-06
0,0,20,4.855824663134472e-06
0,0,21,4.189549571166553e-06
0,0,22,3.4864119307907206e-06
0,0,23,2.97359497264495e-06
0,0,24,2.4081873920802006e-06
0,1,0,-6.523149301642913e-06
0,1,1,-2.7832017127366054e-06
0,1,2,2.6805677806973307e-06
0,1,3,7.740034313258293e-06
0,1,4,1.0764638297012272e-05
0,1,5,1.1891778008098197e-05
0,1,6,1.2797712597309983e-05
0,1,7,1.518757512606792e-05
0,1,8,1.9426696524794344e-05
0,1,9,2.4147906875113495e-05
0,1,10,2.698228385459309e-05
0,1,11,2.5779148947881886e-05
0,1,12,2.0030208114053425e-05
0,1,13,1.1708920093805267e-05
0,1,14,4.806746145508194e-06
0,1,15,3.2236727318528694e-06
0,1,16,8.068314611765586e-06
0,1,17,1.649894863505212e-05
0,1,18,2.348927990610569e-05
0,1,19,2.5460098201745716e-05
0,1,20,2.2824912206454752e-05
0,1,21,1.9091043498326737e-05
0,1,22,1.741149634223798e-05
0,1,23,1.7789914537815962e-05
0,1,24,1.767287639227325e-05
0,2,0,-1.1600569441783343e-05
0,2,1,-1.2749423521096607e-05
0,2,2,-1.1373119365395892e-05
0,2,3,-7.783522712566295e-06
0,2,4,-3.6146328595551894e-06
0,2,5,-4.4961712534725563e-07
0,2,6,1.4077866790695922e-06
0,2,7,2.475122928947179e-06
0,2,8,3.1501881054397756e-06
0,2,9,3.062801306606103e-06
0,2,10,1.804391494773108e-06
0,2,11,-3.1041277460263047e-07
0,2,12,-1.9657997038008597e-06
0,2,13,-1.934924359103934e-06
0,2,14,-8.644315259178674e-09
0,2,15,2.6541820657131378e-06
0,2,16,4.642386262331325e-06
0,2,17,5.286366000847756e-06
0,2,18,5.187720385034126e-06
0,2,19,5.371595478216676e-06
0,2,20,6.435926575655885e-06
0,2,21,7.809307251543658e-06
0,2,22,8.399877822397317e-06
0,2,23,7.383476732657874e-06
0,2,24,5.17516608378166e-06
1,0,0,4.406756190474236e-06
1,0,1,1.0354073237650603e-07
1,0,2,-7.316399678413191e-06
1,0,3,-1.3884884745029875e-05
1,0,4,-1.6692065649733922e-05
1,0,5,-1.5445857073304904e-05
1,0,6,-1.2312008949920666e-05
1,0,7,-9.810859192603961e-06
1,0,8,-9.141283362415183e-06
1,0,9,-9.42473211981888e-06
1,0,10,-8.888262660207414e-06
1,0,11,-6.214795668550515e-06
1,0,12,-1.9132058072009054e-06
1,0,13,2.0377880295083e-06
1,0,14,3.172076369056684e-06
1,0,15,4.612711632557572e-07
1,0,16,-4.967729984301774e-06
1,0,17,-1.0105721744887108e-05
1,0,18,-1.2245890866903822e-05
1,0,19,-1.0615663062641962e-05
1,0,20,-7.096475852694001e-06
1,0,21,-4.39576622013213e-06
1,0,22,-4.155949925999341e-06
1,0,23,-5.658218735974746e-06
1,0,24,-7.257291980662076e-06
1,1,0,4.6844794967460174e-06
1,1,1,1.0367448858105744e-05
1,1,2,9.023193113385781e-06
1,1,3,1.7642000138081608e-06
1,1,4,-6.8801972817938355e-06
1,1,5,-1.2985254773184725e-05
1,1,6,-1.5718394076912013e-05
1,1,7,-1.6572531850692356e-05
1,1,8,-1.6598614703936345e-05
1,1,9,-1.5142988057143805e-05
1,1,10,-1.0975562490624373e-05
1,1,11,-4.492848596429058e-06
1,1,12,1.8840950641506543e-06
1,1,13,5.386634519031412e-06
1,1,14,4.997329307913098e-06
1,1,15,1.731622095004146e-06
1,1,16,-2.6324098536219048e-06
1,1,17,-6.934483202362181e-06
1,1,18,-1.0534308396558214e-05
1,1,19,-1.258096181675362e-05
1,1,20,-1.1976970014284847e-05
1,1,21,-8.722538898755443e-06
1,1,22,-4.933370001552551e-06
1,1,23,-4.075832172728436e-06
1,1,24,-8.321577603365518e-06
1,2,0,2.859781713463838e-06
1,2,1,5.441072598065632e-07
1,2,2,-3.886837715692262e-06
1,2,3,-8.597011165741996e-06
1,2,4,-1.127866579262414e-05
1,2,5,-1.0766094216152565e-05
1,2,6,-7.757458049216612e-06
1,2,7,-4.139859873091576e-06
1,2,8,-1.3897274791536753e-06
1,2,9,4.00980713102097e-07
1,2,10,2.321669888295436e-06
1,2,11,5.384630356476721e-06
1,2,12,9.47673702764119e-06
1,2,13,1.3203690665549643e-05
1,2,14,1.4843438332895757e-05
1,2,15,1.34870906740366e-05
1,2,16,9.731135068645849e-06
1,2,17,5.2387968806510315e-06
1,2,18,1.7186310543893803e-06
1,2,19,-1.1887692785210634e-07
1,2,20,-6.556364594343428e-07
1,2,21,-7.077208570947717e-07
1,2,22,-5.060095721005025e-07
1,2,23,4.324812444663372e-07
1,2,24,2.5228055540843757e-06
2,0,0,-1.1432850612723834e-06
2,0,1,-3.20673975924294e-06
2,0,2,-3.855263697155023e-06
2,0,3,-3.3530909194605927e-06
2,0,4,-2.862078369518978e-06
2,0,5,-3.387196243689525e-06
2,0,6,-4.4848330376039516e-06
2,0,7,-4.487599720527972e-06
2,0,8,-1.9762094165145887e-06
2,0,9,2.436207105269947e-06
2,0,10,6.275624857898798e-06
2,0,11,7.134235890486997e-06
2,0,12,5.044867141491615e-06
2,0,13,2.5898156695180108e-06
2,0,14,2.7804965116553414e-06
2,0,15,6.157754342792619e-06
2,0,16,1.0330298545569903e-05
2,0,17,1.197271576180444e-05
2,0,18,9.86304090619893e-06
2,0,19,5.638229497323437e-06
2,0,20,2.161434927450454e-06
2,0,21,7.479357575486386e-07
2,0,22,4.2702172958918155e-07
2,0,23,-7.847828900211268e-07
2,0,24,-3.5711160840120693e-06
2,1,0,-2.806370181114806e-06
2,1,1,-8.992019272523286e-06
2,1,2,-1.3051834151921182e-05
2,1,3,-1.3863537085071756e-05
2,1,4,-1.1209726820798243e-05
2,1,5,-6.455955832074668e-06
2,1,6,-1.0678158264409778e-06
2,1,7,3.6315676511545494e-06
2,1,8,7.321169068700358e-06
2,1,9,9.577026646102242e-06
2,1,10,1.0453948353895146e-05
2,1,11,1.0088399144741133e-05
2,1,12,9.713140897602078e-06
2,1,13,1.0387230004366187e-05
2,1,14,1.287113574188032e-05
